"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL89",144.185339438145,-2.50074617709007,0.541658101921257,-4.61683517373772,3.89636492691697e-06,3.11954248551277e-05
"MODEL1382",108.202492971298,4.32812423549499,0.938146254203863,4.61348560109954,3.95971707163844e-06,3.15044989512234e-05
"MODEL768",168.853741090524,9.75914963326307,2.11635787799225,4.6112945899875,4.00168959489989e-06,3.16406885360718e-05
"MODEL121",723.778627013754,2.32408942147945,0.50480996127406,4.60388977985659,4.14671984733517e-06,3.25850269485042e-05
"MODEL1137",654.477107563838,-2.33532484137993,0.508676251978678,-4.59098460424651,4.41159881789758e-06,3.44537748170774e-05
"MODEL1411",230.610337765556,10.2091231368113,2.23642749642978,4.56492470831678,4.99673640815615e-06,3.87856429730657e-05
"MODEL390",155.015080641619,9.63604918815157,2.1122153638859,4.56205808976973,5.06546272860819e-06,3.9080812445565e-05
"MODEL715",336.041526873214,3.1271498796408,0.689050633962366,4.5383455518475,5.66972989118648e-06,4.34793141655445e-05
"MODEL1367",196.183617056465,9.9756431621249,2.20067027609378,4.53300218142256,5.81512143375693e-06,4.43272430249854e-05
"MODEL567",2162.50691649459,-2.27628976518393,0.502866099723083,-4.52663197307879,5.99311777724127e-06,4.54121364906437e-05
"MODEL882",452.41967781543,11.1818382277992,2.47249083907528,4.52249935614777,6.11136726322562e-06,4.60341451247705e-05
"MODEL496",409.213757978785,4.24758097301886,0.939977020428154,4.51881363129932,6.21871032048086e-06,4.65671661057184e-05
"MODEL1428",818.608870097491,-2.0225842197691,0.449383539033866,-4.50079730138197,6.76990420290565e-06,5.03981757327421e-05
"MODEL401",1287.00289848871,2.2945078360498,0.513847154705261,4.46535086365501,7.99376399143293e-06,5.84831124200812e-05
"MODEL593",78.3382842643454,-3.19703060279593,0.715640539133746,-4.46736933973278,7.91873467276291e-06,5.84831124200812e-05
"MODEL636",155.2803361449,9.63974621982148,2.15819793960838,4.4665718759655,7.94829660982067e-06,5.84831124200812e-05
"MODEL172",120.770452608529,4.81496076447469,1.07908075672695,4.46209492149537,8.1162256779049e-06,5.90397445027025e-05
"MODEL1070",734.377848668145,2.59195362420883,0.581258809956478,4.45920746457658,8.22632659716207e-06,5.9500646353337e-05
"MODEL1194",194.669059338966,9.96574659119429,2.23966869240945,4.44965214050167,8.60094838310327e-06,6.18587982581382e-05
"MODEL1260",2723.91800614103,13.7715207997369,3.10118094481675,4.44073436693668,8.96524053122263e-06,6.41165797541933e-05
"MODEL1112",146.708602902683,9.55572080130922,2.155174978466,4.4338491754905,9.25653944294503e-06,6.5830026317704e-05
"MODEL1425",136.008255464514,9.44722891444509,2.13986391042695,4.41487370687987,1.01068977516053e-05,7.10833195458206e-05
"MODEL898",5679.36870373465,1.80766386605726,0.409384565292578,4.41556428676143,1.00746832551538e-05,7.10833195458206e-05
"MODEL1334",989.345344424934,7.27986455524584,1.65409609986779,4.40111342734421,1.07696804012422e-05,7.53285887405566e-05
"MODEL1088",128.595873034934,9.36615922122865,2.13193701885804,4.3932626237925,1.1166210090179e-05,7.76753302994421e-05
"MODEL1286",90.5974450396298,-5.04700797686937,1.15217846072701,-4.38040472800089,1.18459077689639e-05,8.19556553798424e-05
"MODEL164",219.099889124852,10.1358162780074,2.31628891004369,4.37588602788595,1.20940198427214e-05,8.32199311339692e-05
"MODEL866",209.766984656325,10.0731373382061,2.31325706900783,4.3545256915724,1.33355340863412e-05,9.12695424296361e-05
"MODEL206",175.422527172119,-2.36154544062817,0.543386151574022,-4.34598017227251,1.3865509462859e-05,9.43892703006392e-05
"MODEL368",393.558820586137,10.9807286236228,2.52756690819498,4.34438692325835,1.39665161173873e-05,9.45711437097558e-05
"MODEL54",146.741128321365,9.55635959640735,2.20723726625108,4.32955701796323,1.49409583406775e-05,0.000100634073903082
"MODEL1422",26481.8945257429,-5.42239585693,1.25469855929159,-4.32167217916589,1.54851143743348e-05,0.000103207071196482
"MODEL395",179.453392300045,9.84801397612584,2.27874174063623,4.32168937818124,1.54839071139048e-05,0.000103207071196482
"MODEL525",115.165946924308,9.20894743263,2.13365519160655,4.31604294304744,1.58851089349048e-05,0.000105321581636114
"MODEL743",2043.15962210804,-1.76604115722782,0.409471082656886,-4.31298138508028,1.61067684311877e-05,0.000105966252163821
"MODEL893",111.75105033764,9.16405420065752,2.12504486323364,4.3124050504575,1.61488239746908e-05,0.000105966252163821
"MODEL1362",107.074107223136,9.10341908760507,2.11368976372782,4.30688516537535,1.65569508432899e-05,0.000108087171402605
"MODEL1055",156.217152816984,9.64807390224474,2.24230763112182,4.30274319559705,1.68696340752281e-05,0.000109566551927374
"MODEL125",117.53891106534,-2.58424184821949,0.60290532612901,-4.28631451112196,1.81661750143804e-05,0.000117388531945717
"MODEL1155",80.6337737623107,-3.21570558397738,0.75250528692226,-4.27333287866932,1.92572632267779e-05,0.000123810586301456
"MODEL1212",114.359150372854,4.14143618833783,0.969476980710882,4.2718251910438,1.93879537536794e-05,0.000124024447881578
"MODEL158",542.364678276398,11.4433341866576,2.68167027632071,4.26724131139567,1.97905052065069e-05,0.000125858970718637
"MODEL583",37.9395937345392,-7.88787693335971,1.84935210240507,-4.26521100178898,1.99713370661152e-05,0.000125858970718637
"MODEL990",99.5601715210084,8.99748584247078,2.1090278945516,4.26617678491338,1.98851231418638e-05,0.000125858970718637
"MODEL278",316.86810608832,10.6680111571133,2.5040773846639,4.26025618155773,2.04192723739662e-05,0.00012804794941901
"MODEL140",26.1178793426294,-9.3088202496852,2.18902789003124,-4.2524904740032,2.11406212048923e-05,0.000131921621538372
"MODEL287",117.887371146996,3.43322320517121,0.814420048374583,4.21554357855412,2.49177267085612e-05,0.000154469743441581
"MODEL736",187.292888888975,3.62164004637479,0.859261301801619,4.21482969008528,2.49966749009943e-05,0.000154469743441581
"MODEL1261",273.648195169477,5.41784610514182,1.28766782634878,4.20748736147604,2.5822584043175e-05,0.000158802654526385
"MODEL732",102.605165675204,9.04177966342977,2.15244475538933,4.20070231340005,2.66088270139283e-05,0.000162851138407359
"MODEL1371",210.396171627751,10.0766073479773,2.40214319341852,4.19484041400426,2.73063772064296e-05,0.000166320661166435
"MODEL1240",158.150627684737,3.86948338385653,0.924009771745161,4.18770829289857,2.81785369900325e-05,0.000170006054920907
"MODEL1392",97.158901687539,8.96365510329715,2.14034413301072,4.18795041650073,2.8148499238855e-05,0.000170006054920907
"MODEL153",98.4133557806967,8.97997181058339,2.14600544679482,4.1845056003914,2.85787402017246e-05,0.000171607246588658
"MODEL808",801.720041961028,2.29990249391128,0.549886310222363,4.18250545823052,2.88314093598503e-05,0.000172311662512157
"MODEL973",2646.44068985337,4.05908010062897,0.973092971928937,4.17131786758541,3.02843061660061e-05,0.000180149167052924
"MODEL1177",99.928776363372,9.00220725205446,2.16271627820805,4.16245410586792,3.14845435120167e-05,0.000186417785538592
"MODEL809",163.564613481128,9.71323257760911,2.33510655267776,4.15965282889149,3.18731693157655e-05,0.00018784511360634
"MODEL44",256.840155162896,7.91980476074625,1.90535419067236,4.15660500263812,3.23011748401966e-05,0.000189395128465581
