"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL579",251.382551092274,-2.28621394452432,0.523838207831078,-4.3643512640864,1.27500563627785e-05,0.000120564532966433
"MODEL660",309.17228073068,10.6747837356546,2.44985404373386,4.35731416855554,1.31668206938816e-05,0.000123517317937842
"MODEL973",1330.57757424675,4.29055095053378,0.985326176717307,4.35444734131401,1.33403042317412e-05,0.000124159366944237
"MODEL337",101.136361573513,4.6015784846927,1.05808520718302,4.34896778960144,1.36779797980872e-05,0.000126307594697961
"MODEL306",22.4492894970823,-8.11812650184527,1.87422756996474,-4.33145186419278,1.48129333871923e-05,0.000135727808245437
"MODEL1230",78.6042688617107,5.24251135460557,1.21335474393947,4.32067487335518,1.55552725110832e-05,0.000140814560663355
"MODEL930",144.499357552988,6.12836567485866,1.41861910064675,4.31995147398251,1.56063514779183e-05,0.000140814560663355
"MODEL491",766.76709302743,4.30849945740645,0.999469958613497,4.31078435152105,1.62676492567324e-05,0.000145669404708013
"MODEL1186",220.236003675533,10.1856041230361,2.3638463386808,4.30891126735439,1.64060168777324e-05,0.000145803849244208
"MODEL296",273.154434153886,2.85856051220206,0.664104247064972,4.30438522993273,1.67450071559387e-05,0.000147705958644176
"MODEL808",404.124812807469,2.61045670044562,0.608361004011452,4.29096652026119,1.77897136774863e-05,0.000155758826420658
"MODEL848",133.908273809561,5.00879586434483,1.1692862833556,4.28363518467919,1.83864298259031e-05,0.000159799706281011
"MODEL564",212.531126242375,3.32107790239755,0.776401127611363,4.27752843767115,1.88979822283786e-05,0.00016304682477331
"MODEL1144",121.344965949731,2.8159636836055,0.658884136930587,4.27383742568711,1.92137153862835e-05,0.000164569649178168
"MODEL1117",557.960587047444,-2.55003692164892,0.598711761661312,-4.25920632421358,2.05154040725461e-05,0.000173208625812497
"MODEL318",529.396214430795,-2.52067394445669,0.591599715137658,-4.26077612946477,2.03718215546589e-05,0.000173208625812497
"MODEL1058",93.3612513760717,3.28730488438213,0.772570374223842,4.25502322385156,2.09027318384847e-05,0.000175227156263042
"MODEL985",212.032987844509,10.1298085888646,2.38180657674345,4.25299379377594,2.1093142467489e-05,0.000175578129553324
"MODEL779",109.927679096218,9.18148478049493,2.1634306004532,4.24394698797898,2.19622255782633e-05,0.000181533920514037
"MODEL362",183.228122125123,9.92028560601851,2.35188841824733,4.21800861344064,2.46469406405244e-05,0.000199538930391095
"MODEL60",1396.89862001236,2.66838562604368,0.632460402933053,4.21905563363171,2.45327737248357e-05,0.000199538930391095
"MODEL877",103.002516774282,9.08851390226003,2.15407612913993,4.21921666523868,2.45152595650728e-05,0.000199538930391095
"MODEL9",281.975645274409,4.26739057715531,1.02035773688444,4.18224944340143,2.8863903467498e-05,0.000232089346248862
